# Efinity GPIO Pin Assignment
# Version: 2023.2.307.5.10
# Date: 2024-06-16 21:14
#
# Copyright (C) 2013 - 2023 Efinix Inc. All rights reserved.
#
# Device: Ti180M484
# Package: 484-ball FBGA (final)
# Project: UDP
# Configuration mode: active (x1)
# Timing Model: C4 (final)
Package Pin-Pad Name,Instance Name,Mode
J2-GPIOB_N_01_CCK,,
E1-GPIOB_N_02_CSO,LED2,output
H2-GPIOB_N_09_CDI1,,
F3-GPIOB_N_10_CDI2,,
B1-GPIOB_N_11,LED6,output
A2-GPIOB_N_12_SSU_N,,
D2-GPIOB_N_13_CBSEL1_CLK0_N,ARSTN,input
E4-GPIOB_N_14_TEST_N_CLK1_N,PHYRSTN,input
B3-GPIOB_N_15_CLK2_N,RSTN_0,inout
A3-GPIOB_N_16_CLK3_N,,
C4-GPIOB_N_17_CLK4_N,,
G5-GPIOB_N_18_CLK5_N,,
F5-GPIOB_N_19_CDI4_CLK6_N,,
C5-GPIOB_N_20_CDI7_CLK7_N,,
A5-GPIOB_N_21_CDI8,,
C6-GPIOB_N_22_CDI10,,
C7-GPIOB_N_23_CDI12,,
E6-GPIOB_N_24_CDI13,,
A7-GPIOB_N_25_CDI14,,
C9-GPIOB_N_26_CDI17,,
C8-GPIOB_N_27_CDI18,,
A9-GPIOB_N_28_CDI20,,
C11-GPIOB_N_29_CDI23,,
E8-GPIOB_N_30_CDI24,,
C10-GPIOB_N_31_CDI26,,
A12-GPIOB_N_32_CDI29,,
E10-GPIOB_N_33_CDI30,,
C12-GPIOB_N_34,,
G1-GPIOB_P_00_PLLIN0,,
J3-GPIOB_P_01_EXTFB,,
F1-GPIOB_P_02_CSI,LED3,output
E2-GPIOB_P_08_SSL_N,,
G2-GPIOB_P_09_CDI0,,
G3-GPIOB_P_10_CDI3,,
C1-GPIOB_P_11_PLLIN0,,
B2-GPIOB_P_12_EXTFB,LED7,output
C2-GPIOB_P_13_CBSEL0_CLK0_P,LED4,output
E3-GPIOB_P_14_NSTATUS_CLK1_P,LED5,output
C3-GPIOB_P_15_CLK2_P,,
A4-GPIOB_P_16_EXTSPICLK_CLK3_P,,
D4-GPIOB_P_17_CLK4_P,,
G6-GPIOB_P_18_CLK5_P,,
E5-GPIOB_P_19_CDI5_CLK6_P,,
B5-GPIOB_P_20_CDI6_CLK7_P,,
A6-GPIOB_P_21_CDI9,,
D6-GPIOB_P_22_CDI11,,
B7-GPIOB_P_23_PLLIN0,,
E7-GPIOB_P_24_EXTFB,,
A8-GPIOB_P_25_CDI15,,
B9-GPIOB_P_26_CDI16,,
D8-GPIOB_P_27_CDI19,,
A10-GPIOB_P_28_CDI21,,
B11-GPIOB_P_29_CDI22,,
E9-GPIOB_P_30_CDI25,,
D10-GPIOB_P_31_CDI27,,
A11-GPIOB_P_32_CDI28,,
F10-GPIOB_P_33_CDI31,,
D12-GPIOB_P_34,,
J7-GPIOL_00_PLLIN1,,
H6-GPIOL_03_CLK24,,
H5-GPIOL_04_CLK25,,
J6-GPIOL_05_CLK26,,
K7-GPIOL_06_CLK27,,
H4-GPIOL_07,,
L16-GPIOL_26_PLLIN1,,
H17-GPIOL_27_CLK28,,
J16-GPIOL_28_CLK29,,
J18-GPIOL_29_CLK30,,
K16-GPIOL_30_CLK31,,
K17-GPIOL_32_PLLIN1,,
K18-GPIOL_36_PLLIN1,,
H16-GPIOR_56,,
H15-GPIOR_58,,
G17-GPIOR_59,,
F17-GPIOR_60,,
G15-GPIOR_61,,
F16-GPIOR_62,,
F15-GPIOR_63,,
G9-GPIOR_65,,
F7-GPIOR_66,,
G10-GPIOR_67,,
F8-GPIOR_68,,
H7-GPIOR_69,MST_SDA,inout
G7-GPIOR_70,MST_SCL,inout
H8-GPIOR_71,,
A13-GPIOR_N_16,,
E12-GPIOR_N_17,,
C13-GPIOR_N_18,,
D14-GPIOR_N_19,,
B15-GPIOR_N_20_CLK15_N,,
E14-GPIOR_N_21_CLK14_N,TXD_0_62,output
G12-GPIOR_N_22_CLK13_N,,
A16-GPIOR_N_23_CLK12_N,,
C16-GPIOR_N_24_CLK11_N,,
G13-GPIOR_N_25_CLK10_N,,
B17-GPIOR_N_26_CLK9_N,,
C18-GPIOR_N_27_CLK8_N,,
E15-GPIOR_N_28,,
A19-GPIOR_N_31,,
C19-GPIOR_N_41,,
A20-GPIOR_N_42,,
E18-GPIOR_N_43,,
B22-GPIOR_N_44,,
D20-GPIOR_N_45,,
A14-GPIOR_P_16_PLLIN1,RCLK_PLL_0,input
E11-GPIOR_P_17,,
B13-GPIOR_P_18,,
C14-GPIOR_P_19,,
C15-GPIOR_P_20_CLK15_P,,
E13-GPIOR_P_21_CLK14_P,TXD_0_73,output
G11-GPIOR_P_22_CLK13_P,TX_CTL_0,output
A15-GPIOR_P_23_CLK12_P,RCLK_0,input
D16-GPIOR_P_24_CLK11_P,TCLK_0,output
F13-GPIOR_P_25_CLK10_P,,
A17-GPIOR_P_26_CLK9_P,,
C17-GPIOR_P_27_CLK8_P,,
E16-GPIOR_P_28,,
A18-GPIOR_P_31_PLLIN1,,
B19-GPIOR_P_41,,
A21-GPIOR_P_42,,
D18-GPIOR_P_43,,
B21-GPIOR_P_44_EXTFB,,
C20-GPIOR_P_45_PLLIN0,,
J21-GPIOT_N_11,,
H22-GPIOT_N_12,,
J19-GPIOT_N_13_CLK16_N,,
F21-GPIOT_N_14_CLK17_N,,
H20-GPIOT_N_15_CLK18_N,,
G19-GPIOT_N_16_CLK19_N,,
G18-GPIOT_N_17_CLK20_N,,
E22-GPIOT_N_18_CLK21_N,,
E21-GPIOT_N_19_CLK22_N,,
C21-GPIOT_N_20_CLK23_N,TXD_0_40,output
J22-GPIOT_P_11_PLLIN0,,
G22-GPIOT_P_12_EXTFB,,
H19-GPIOT_P_13_CLK16_P,,
G21-GPIOT_P_14_CLK17_P,,
G20-GPIOT_P_15_CLK18_P,,
F19-GPIOT_P_16_CLK19_P,,
H18-GPIOT_P_17_CLK20_P,,
D22-GPIOT_P_18_CLK21_P,,
E20-GPIOT_P_19_CLK22_P,,
C22-GPIOT_P_20_CLK23_P,TXD_0_51,output
