sep=\t
Module Resource Usage Distribution Estimates
Generated at: Jul 06, 2024 18:59:36

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
udp_top:udp_top                                             	   520(132)	      14(0)	   191(126)	    835(29)	     0(0)	     1(0)	     0(0)	
 +udp_state:udp_state                                       	     38(38)	       0(0)	       0(0)	     68(68)	     0(0)	     0(0)	     0(0)	
 +udp_i2c_cnt:udp_i2c_cnt                                   	    181(26)	       0(0)	      23(3)	    298(47)	     0(0)	     0(0)	     0(0)	
  +udp_i2c:udp_i2c                                          	     155(0)	       0(0)	      20(0)	     251(0)	     0(0)	     0(0)	     0(0)	
   +u_i2c_controller:i2c_controller_80357bd6890e4bd9aabbb4897aaeda9f(CLOCK_FREQ=50,DATA_BYTE_WIDTH=8,I2C_FAST_MODE=0,SLAVE_ADDR=84)	     155(0)	       0(0)	      20(0)	     251(0)	     0(0)	     0(0)	     0(0)	
    +genblk1.master_ctl_inst:i2c_master_ctl_80357bd6890e4bd9aabbb4897aaeda9f(DATA_BYTE_WIDTH=8,CLOCK_FREQ=50)	    155(42)	       0(0)	      20(0)	    251(76)	     0(0)	     0(0)	     0(0)	
     +u_pgfts_rdflag:pulse_gen_fts_80357bd6890e4bd9aabbb4897aaeda9f	       6(6)	       0(0)	       0(0)	       7(7)	     0(0)	     0(0)	     0(0)	
     +u_i2c_mstrslv_ctl:i2c_mstrslv_ctl_80357bd6890e4bd9aabbb4897aaeda9f(CLOCK_FREQ=50)	   107(107)	       0(0)	     20(20)	   168(168)	     0(0)	     0(0)	     0(0)	
 +udp_tx:udp_tx                                             	     86(54)	       0(0)	     21(21)	   360(284)	     0(0)	     0(0)	     0(0)	
  +udp_crc:udp_crc                                          	     32(32)	       0(0)	       0(0)	     76(76)	     0(0)	     0(0)	     0(0)	
 +udp_gmii_fifo:udp_gmii_fifo                               	      54(0)	      14(0)	      21(0)	      40(0)	     0(0)	     1(0)	     0(0)	
  +u_efx_fifo_top:efx_fifo_top_b4a0446cb7684fc0844a0dd181407e9b_renamed_due_excessive_length_1	      54(4)	      14(0)	      21(0)	      40(0)	     0(0)	     1(0)	     0(0)	
   +xefx_fifo_ram:efx_fifo_ram_b4a0446cb7684fc0844a0dd181407e9b(FAMILY="TITANIUM",MODE="FWFT",WR_DEPTH=64,RD_DEPTH=64,WADDR_WIDTH=6,RADDR_WIDTH=6,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
   +xefx_fifo_ctl:efx_fifo_ctl_b4a0446cb7684fc0844a0dd181407e9b(FAMILY="TITANIUM",SYNC_CLK=0,MODE="FWFT",WR_DEPTH=64,WADDR_WIDTH=6,RADDR_WIDTH=6,PROG_FULL_ASSERT=61,PROG_FULL_NEGATE=61,PROG_EMPTY_NEGATE=2,OUTPUT_REG=1)	     50(50)	      14(0)	     21(21)	     40(16)	     0(0)	     0(0)	     0(0)	
    +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_b4a0446cb7684fc0844a0dd181407e9b(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(6)	     0(0)	     0(0)	     0(0)	
